Source,Target,Type,Weight,edge_name,edge_color,travel_seconds
182,183,Undirected,0.001524390243902439,9,#A60084,656
148,149,Undirected,0.0036363636363636364,7,#EE7518,275
77,78,Undirected,0.004048582995951417,5,#8FD400,247
181,182,Undirected,0.0037593984962406013,9,#A60084,266
30,31,Undirected,0.004739336492890996,2,#ED1C24,211
32,33,Undirected,0.003861003861003861,2,#ED1C24,259
288,289,Undirected,0.0024096385542168677,7,#EE7518,415
173,114,Undirected,0.0033783783783783786,9,#A60084,296
119,64,Directed,0.003745318352059925,6,#98989B,267
64,119,Directed,0.0035460992907801418,6,#98989B,282
149,150,Undirected,0.004048582995951417,7,#EE7518,247
108,207,Undirected,0.0031645569620253164,11,#009B3A,316
109,108,Directed,0.0036101083032490976,6,#98989B,277
108,109,Directed,0.003424657534246575,6,#98989B,292
277,278,Undirected,0.0035335689045936395,10,#005AA9,283
216,217,Undirected,0.0026666666666666666,12,#A49800,375
230,231,Undirected,0.0026954177897574125,12,#A49800,371
95,96,Undirected,0.003787878787878788,5,#8FD400,264
275,274,Undirected,0.004048582995951417,10,#005AA9,247
57,10,Undirected,0.004651162790697674,10,#005AA9,215
68,69,Undirected,0.0035087719298245615,4,#B65518,285
291,290,Undirected,0.0022624434389140274,7,#EE7518,442
180,181,Undirected,0.004032258064516129,9,#A60084,248
114,113,Directed,0.0038461538461538464,6,#98989B,260
113,114,Directed,0.0036363636363636364,6,#98989B,275
97,96,Undirected,0.0036496350364963502,5,#8FD400,274
65,64,Undirected,0.0036101083032490976,4,#B65518,277
9,8,Undirected,0.003278688524590164,1,#2DBEF0,305
227,226,Undirected,0.002849002849002849,12,#A49800,351
6,120,Directed,0.00398406374501992,6,#98989B,251
120,6,Directed,0.0037593984962406013,6,#98989B,266
122,6,Directed,0.004016064257028112,6,#98989B,249
6,122,Directed,0.003787878787878788,6,#98989B,264
210,211,Undirected,0.002881844380403458,12,#A49800,347
51,52,Undirected,0.004651162790697674,3,#FFD000,215
104,130,Directed,0.004132231404958678,6,#98989B,242
130,104,Directed,0.0038910505836575876,6,#98989B,257
71,258,Undirected,0.0040650406504065045,8,#EC82B1,246
62,63,Undirected,0.004149377593360996,4,#B65518,241
227,228,Undirected,0.002652519893899204,12,#A49800,377
25,26,Undirected,0.0036496350364963502,1,#2DBEF0,274
200,199,Undirected,0.0027100271002710027,10,#005AA9,369
188,261,Undirected,0.0037593984962406013,10,#005AA9,266
229,230,Undirected,0.002890173410404624,12,#A49800,346
128,127,Directed,0.0033003300330033004,6,#98989B,303
127,128,Directed,0.0031446540880503146,6,#98989B,318
179,178,Undirected,0.002717391304347826,9,#A60084,368
79,80,Undirected,0.0036900369003690036,5,#8FD400,271
267,268,Undirected,0.0036231884057971015,3,#FFD000,276
52,53,Undirected,0.004878048780487805,6,#98989B,205
37,50,Undirected,0.004901960784313725,2,#ED1C24,204
324,323,Undirected,0.0033783783783783786,2,#ED1C24,296
208,254,Undirected,0.0035971223021582736,11,#009B3A,278
46,47,Undirected,0.004672897196261682,3,#FFD000,214
59,58,Undirected,0.004347826086956522,4,#B65518,230
1,163,Undirected,0.0033783783783783786,9,#A60084,296
123,122,Directed,0.00423728813559322,6,#98989B,236
122,123,Directed,0.00398406374501992,6,#98989B,251
113,18,Directed,0.004032258064516129,6,#98989B,248
18,113,Directed,0.0038022813688212928,6,#98989B,263
208,207,Undirected,0.0033003300330033004,11,#009B3A,303
