Source,Target,Weight,edge_name,edge_color,travel_seconds
53,52,0.0048780488,6,98989B,205
37,50,0.0049019608,2,ED1C24,204
324,323,0.0033783784,2,ED1C24,296
208,254,0.0035971223,11,009B3A,278
46,47,0.0046728972,3,FFD000,214
59,58,0.0043478261,4,B65518,230
1,163,0.0033783784,9,A60084,296
123,122,0.0042372881,6,98989B,236
122,123,0.0039840637,6,98989B,251
113,18,0.0040322581,6,98989B,248
18,113,0.0038022814,6,98989B,263
208,207,0.00330033,11,009B3A,303
233,232,0.0027777778,12,A49800,360
175,114,0.0034246575,9,A60084,292
205,236,0.0031545741,12,A49800,317
83,63,0.0037735849,5,8FD400,265
43,109,0.0035587189,6,98989B,281
109,43,0.0033783784,6,98989B,296
280,281,0.0034965035,10,005AA9,286
150,151,0.0042918455,7,EE7518,233
288,287,0.0026666667,7,EE7518,375
132,133,0.0036630037,7,EE7518,273
64,63,0.0042918455,6,98989B,233
205,204,0.0042918455,10,005AA9,233
22,23,0.0033670034,1,2DBEF0,297
111,259,0.0039215686,6,98989B,255
259,111,0.0037037037,6,98989B,270
46,45,0.003875969,3,FFD000,258
7,8,0.0032258065,1,2DBEF0,310
169,64,0.0036363636,9,A60084,275
71,70,0.003968254,4,B65518,252
156,168,0.0036231884,9,A60084,276
324,325,0.0033783784,2,ED1C24,296
200,103,0.003875969,10,005AA9,258
9,39,0.0046948357,4,B65518,213
259,43,0.0041841004,6,98989B,239
43,259,0.0039370079,6,98989B,254
140,64,0.00390625,7,EE7518,256
71,72,0.0043859649,4,B65518,228
120,156,0.0030959752,8,EC82B1,323
177,178,0.0032894737,9,A60084,304
188,187,0.003164557,10,005AA9,316
1,261,0.0039840637,10,005AA9,251
49,12,0.0047169811,3,FFD000,212
19,18,0.0032786885,1,2DBEF0,305
77,76,0.003257329,5,8FD400,307
11,10,0.00330033,1,2DBEF0,303
232,231,0.0030120482,12,A49800,332
265,264,0.0029585799,4,B65518,338
156,258,0.0024875622,8,EC82B1,402
36,12,0.0045248869,2,ED1C24,221
138,78,0.0035087719,7,EE7518,285
1,2,0.0036363636,1,2DBEF0,275
326,345,0.0026595745,9,A60084,376
15,14,0.0033222591,1,2DBEF0,301
102,103,0.0029154519,5,8FD400,343
29,115,0.0043103448,6,98989B,232
115,29,0.004048583,6,98989B,247
283,282,0.0035211268,10,005AA9,284
9,57,0.0045454545,4,B65518,220
84,57,0.0036900369,5,8FD400,271
133,134,0.0037037037,7,EE7518,270
93,92,0.0040650407,5,8FD400,246
28,29,0.0041666667,2,ED1C24,240
100,99,0.0032894737,5,8FD400,304
98,99,0.003968254,5,8FD400,252
236,235,0.0029761905,12,A49800,336
175,176,0.0033444816,9,A60084,299
215,214,0.0032679739,12,A49800,306
252,253,0.0036231884,5,8FD400,276
158,159,0.0020325203,8,EC82B1,492
203,204,0.0018691589,10,005AA9,535
265,263,0.0042194093,4,B65518,237
44,43,0.0038910506,3,FFD000,257
39,52,0.0035335689,4,B65518,283
127,199,0.0030395137,10,005AA9,329
74,253,0.0026525199,5,8FD400,377
221,222,0.0028248588,12,A49800,354
176,177,0.0034013605,9,A60084,294
217,218,0.0020242915,12,A49800,494
95,94,0.0035842294,5,8FD400,279
47,12,0.0035211268,3,FFD000,284
101,100,0.0037735849,5,8FD400,265
120,192,0.0041322314,10,005AA9,242
90,91,0.0039525692,5,8FD400,253
115,114,0.003968254,6,98989B,252
114,115,0.0037453184,6,98989B,267
147,122,0.0032679739,7,EE7518,306
272,273,0.0025125628,3,FFD000,398
120,119,0.0036101083,6,98989B,277
119,120,0.0034246575,6,98989B,292
162,161,0.0032467532,9,A60084,308
300,183,0.0019157088,9,A60084,522
140,139,0.0039370079,7,EE7518,254
21,22,0.0035460993,1,2DBEF0,282
185,184,0.0017452007,9,A60084,573
285,160,0.0029585799,8,EC82B1,338
1,261,0.0039840637,1,2DBEF0,251
36,37,0.0046948357,2,ED1C24,213
323,322,0.0031948882,2,ED1C24,313
160,159,0.0034722222,8,EC82B1,288
279,278,0.0028653295,10,005AA9,349
219,218,0.0022727273,12,A49800,440
53,124,0.003058104,6,98989B,327
124,53,0.0029239766,6,98989B,342
127,52,0.003021148,6,98989B,331
52,127,0.0028901734,6,98989B,346
9,10,0.0037174721,1,2DBEF0,269
102,101,0.0043103448,5,8FD400,232
136,78,0.0039370079,7,EE7518,254
271,272,0.0033783784,3,FFD000,296
145,122,0.0028901734,7,EE7518,346
49,11,0.0046511628,5,8FD400,215
51,197,0.004784689,3,FFD000,209
257,202,0.0027027027,10,005AA9,370
295,294,0.0035460993,1,2DBEF0,282
59,60,0.004784689,4,B65518,209
281,282,0.0036900369,10,005AA9,271
25,24,0.0024875622,1,2DBEF0,402
21,20,0.0035087719,1,2DBEF0,285
152,154,0.0030959752,7,EE7518,323
23,24,0.0034129693,1,2DBEF0,293
300,184,0.0024509804,9,A60084,408
91,92,0.0033557047,5,8FD400,298
135,134,0.0037593985,7,EE7518,266
73,264,0.0036764706,4,B65518,272
267,43,0.003649635,3,FFD000,274
