Label,Id,longitude,latitude
EL CASAR,228,-3.70985,40.31862
CONDE DE CASAL,113,-3.67041,40.40697
GREGORIO MARAÑON,142,-3.69148,40.43825
TRIBUNAL,10,-3.7011,40.42619
BARAJAS,160,-3.58253,40.47577
CHAMARTIN,261,-3.68259,40.47203
PITIS,154,-3.72589,40.49511
ATOCHA-RENFE,16,-3.68938,40.40659
AVENIDA DE GUADALAJARA,324,-3.61206,40.42239
SANTO DOMINGO,37,-3.70796,40.42132
PEÑAGRANDE,150,-3.71582,40.47592
CARABANCHEL ALTO,255,-3.75191,40.372
CHUECA,86,-3.69762,40.42293
IGLESIA,8,-3.69898,40.43492
LA ELIPA,260,-3.65052,40.42662
DELICIAS,44,-3.6942,40.3999
RONDA DE LA COMUNICACION,277,-3.66277,40.51553
VILLAVERDE BAJO-CRUCE,271,-3.69265,40.35089
PARQUE LISBOA,210,-3.8212,40.34969
MARQUES DE VADILLO,94,-3.71596,40.39736
MENDEZ ALVARO,111,-3.67814,40.39538
HOSPITAL INFANTA SOFÍA,284,-3.61145,40.55977
ASCAO,136,-3.64106,40.43021
ATOCHA,15,-3.69249,40.40885
LA GAVIA,293,-3.61346,40.37019
ALUCHE,100,-3.7608,40.38563
JUAN DE LA CIERVA,227,-3.72224,40.3118
SANTIAGO BERNABEU,192,-3.69038,40.45159
SAN CRISTOBAL,272,-3.69318,40.34154
BARRIO DEL PILAR,162,-3.70316,40.47689
COLON,58,-3.69101,40.42542
SAN NICASIO,236,-3.77587,40.33616
LA PESETA,256,-3.7569,40.36422
JOAQUIN VILUMBRALES,204,-3.8072,40.34985
BILBAO,9,-3.70218,40.42906
HOSPITAL SEVERO OCHOA,234,-3.76797,40.32177
AVENIDA DE AMERICA,64,-3.67664,40.43803
REYES CATOLICOS,283,-3.6234,40.55037
CASA DE CAMPO,103,-3.76101,40.40324
PARQUE DE SANTA MARIA,73,-3.64524,40.47711
CIUDAD LINEAL,77,-3.63816,40.43805
PRINCIPE PIO,127,-3.72032,40.42107
VALDEBERNARDO,179,-3.62156,40.40005
ALONSO MARTINEZ,57,-3.69594,40.42772
PUENTE DE VALLECAS,19,-3.66906,40.39819
ALONSO CANO,143,-3.69925,40.43838
EMPALME,101,-3.76535,40.39057
DIEGO DE LEON,63,-3.67495,40.43468
PUERTA DE TOLEDO,91,-3.71105,40.40704
RIVAS FUTURA,300,-3.52479,40.34134
AEROPUERTO T1 T2 T3,159,-3.56954,40.46864
USERA,109,-3.7069,40.3871
ALTO DEL ARENAL,23,-3.64522,40.38977
CALLAO,49,-3.70566,40.42014
ISLAS FILIPINAS,145,-3.71373,40.43907
EL CARRASCAL,231,-3.74018,40.33664
MAR DE CRISTAL,71,-3.63832,40.46943
LAS SUERTES,294,-3.59953,40.36323
PALOS DE LA FRONTERA,45,-3.69423,40.40307
JARAMA,291,-3.52549,40.42295
GETAFE CENTRAL,226,-3.73403,40.30993
SAN BLAS,133,-3.61547,40.42799
LAGUNA,104,-3.74429,40.39923
LA GRANJA,278,-3.65859,40.5276
LA ALMUDENA,322,-3.63914,40.42361
HOSPITAL 12 DE OCTUBRE,268,-3.69585,40.37503
MANUELA MALASAÑA,217,-3.86402,40.30903
MANOTERAS,265,-3.6629,40.47687
LA POVEDA,185,-3.47745,40.31902
FRANCOS RODRIGUEZ,147,-3.71239,40.45648
CUATRO CAMINOS,6,-3.70397,40.44697
SAN LORENZO,72,-3.63958,40.47447
HOSPITAL DE MOSTOLES,216,-3.87471,40.31652
RUBEN DARIO,84,-3.68954,40.43316
MONCLOA,53,-3.71945,40.43502
ESPERANZA,69,-3.64582,40.45945
EMBAJADORES,46,-3.70268,40.40513
QUINTANA,79,-3.64736,40.43358
SAN FERNANDO,290,-3.53541,40.42441
GARCIA NOBLEJAS,135,-3.6333,40.42842
RIVAS VACIAMADRID,184,-3.5206,40.32837
ALFONSO XIII,66,-3.66791,40.44825
ANTONIO MACHADO,149,-3.71769,40.47022
CARABANCHEL,98,-3.74487,40.38783
VINATEROS,176,-3.65273,40.41024
COSLADA CENTRAL,288,-3.56119,40.42374
PACO DE LUCIA,345,-3.70908,40.49965
ABRANTES,207,-3.7279,40.38083
HENARES,292,-3.52718,40.41777
RIVAS URBANIZACIONES,183,-3.54728,40.36677
LACOMA,152,-3.72305,40.48502
CRUZ DEL RAYO,169,-3.67821,40.44427
LAS ROSAS,325,-3.60331,40.42375
PLAZA ELIPTICA,108,-3.71837,40.3846
BATAN,200,-3.75311,40.40786
CANILLAS,70,-3.6356,40.46381
OPORTO,96,-3.73132,40.38846
PACIFICO,18,-3.67514,40.40126
PARQUE DE LAS AVENIDAS,139,-3.66297,40.43945
PIO XII,166,-3.67579,40.463
NUEVA NUMANCIA,20,-3.66414,40.39554
CONGOSTO,27,-3.61884,40.37238
HOSPITAL DEL HENARES,296,-3.53453,40.41761
O'DONNELL,115,-3.6686,40.42289
LEGANES CENTRAL,235,-3.77154,40.32899
ALONSO DE MENDOZA,225,-3.73664,40.30081
