Source,Target,Weight,edge_name,edge_color,travel_seconds,longitude_Source,latitude_Source,longitude_Target,latitude_Target,distance_meters,speed_ms
39,50,0.004048583,2,ED1C24,247.0,-3.70557,40.430009999999996,-3.7074199999999995,40.42484,595.1695167213638,2.4095931851067363
185,186,0.0018761726000000002,9,A60084,533.0,-3.47745,40.31902,-3.44752,40.303670000000004,3062.3757203955797,5.745545441642738
210,205,0.0031545741,12,A49800,317.0,-3.8212,40.34969,-3.8121099999999997,40.345240000000004,916.8352682805719,2.8922248210743593
213,214,0.0028571429,12,A49800,350.0,-3.87218,40.33512,-3.86354,40.3285,1038.959886229321,2.96845681779806
103,202,0.0033222590999999997,10,005AA9,301.0,-3.7610099999999997,40.403240000000004,-3.7746199999999996,40.39698,1348.3860275285208,4.479687799098076
73,72,0.0038314176,4,B65518,261.0,-3.6452400000000003,40.477109999999996,-3.6395800000000005,40.474470000000004,562.4054281572227,2.154810069567903
275,276,0.0025839793,10,005AA9,387.0,-3.69575,40.50525,-3.6694400000000003,40.50833,2256.090029409819,5.829689998474985
292,296,0.0025773196,7,EE7518,388.0,-3.5271800000000004,40.417770000000004,-3.53453,40.417609999999996,624.0568553970747,1.6083939572089556
53,52,0.0048780488,3,FFD000,205.0,-3.71945,40.43502,-3.71596,40.430659999999996,567.533392929798,2.768455575267307
16,17,0.0032786885,1,2DBEF0,305.0,-3.6893800000000003,40.40659,-3.6809800000000004,40.40445,751.6014078071349,2.4642669108430653
269,270,0.0033670034,3,FFD000,297.0,-3.6941800000000002,40.36999,-3.69363,40.359590000000004,1155.7776644105545,3.8915072875776247
18,111,0.00368324125,6,98989B,271.5,-3.6751400000000003,40.40126,-3.67814,40.395379999999996,700.8432629289852,2.581374817417993
225,224,0.0028985507,12,A49800,345.0,-3.73664,40.30081,-3.7457599999999998,40.293240000000004,1143.6009950744017,3.31478549296928
284,283,0.003257329,10,005AA9,307.0,-3.61145,40.55977,-3.6234,40.55037,1453.9642938698953,4.736040045178812
30,62,0.0041493776,4,B65518,241.0,-3.67591,40.42455,-3.67541,40.42917,514.769572745834,2.1359733308955766
67,66,0.003968254,4,B65518,252.0,-3.6611800000000003,40.453540000000004,-3.66791,40.44825,819.1405379171723,3.250557690147509
41,143,0.0044642857,7,EE7518,224.0,-3.70433,40.43841,-3.69925,40.43838,431.02677249794345,1.9242266629372475
34,12,0.005,2,ED1C24,200.0,-3.69925,40.41805,-3.7032599999999998,40.41688,364.2898155333707,1.8214490776668535
49,36,0.0042016807,5,8FD400,238.0,-3.70566,40.42014,-3.7094199999999997,40.41809,391.98159794798846,1.6469815039831448
74,75,0.0031948882,5,8FD400,313.0,-3.60816,40.44942,-3.61699,40.443740000000005,979.262289139215,3.128633511626885
69,70,0.0027855153000000002,4,B65518,359.0,-3.6458199999999996,40.45945,-3.6356,40.463809999999995,992.863412074402,2.765636245332596
32,31,0.0043859649,2,ED1C24,228.0,-3.68624,40.42031,-3.6801199999999996,40.422940000000004,595.8576983494155,2.613410957672875
280,279,0.0036630037,10,005AA9,273.0,-3.6373800000000003,40.54102,-3.63556,40.53196,1017.8149049665901,3.728259725152345
96,105,0.0021253985100000003,6,98989B,470.5,-3.7313199999999997,40.388459999999995,-3.74099,40.3927,946.450225408382,2.0115839009742444
212,213,0.0021321962,12,A49800,469.0,-3.84934,40.345890000000004,-3.87218,40.33512,2279.566278076658,4.860482469246605
6,5,0.0038022814,1,2DBEF0,263.0,-3.7039699999999995,40.44697,-3.7033099999999997,40.45033,377.2829569512162,1.4345359579894152
64,83,0.0036101083,9,A60084,277.0,-3.6766400000000004,40.43803,-3.68258,40.43278,770.6360772819181,2.7820797013787657
28,80,0.0037313433000000003,5,8FD400,268.0,-3.6636599999999997,40.43088,-3.6575699999999998,40.43189,528.7916286794416,1.9731030920874686
127,197,0.0038910506,10,005AA9,257.0,-3.7203199999999996,40.42107,-3.7112,40.42342,816.7806812373578,3.1781349464488633
6,41,0.0039370079,2,ED1C24,254.0,-3.7039699999999995,40.44697,-3.70433,40.43841,951.0199440660884,3.7441730081342066
124,123,0.0040080160299999995,6,98989B,249.5,-3.72678,40.44356,-3.7194300000000005,40.44644,700.7791749570789,2.8087341681646447
39,40,0.0052356021,2,ED1C24,191.0,-3.70557,40.430009999999996,-3.70433,40.43322,371.6531023171588,1.945827760822821
203,257,0.0037878788,10,005AA9,264.0,-3.79152,40.37771,-3.7839199999999997,40.38364,922.010470514688,3.4924639034647273
260,322,0.0033333333,2,ED1C24,300.0,-3.6505199999999998,40.42662,-3.6391400000000003,40.42361,1021.9334855221425,3.406444951740475
225,226,0.0028089888,12,A49800,356.0,-3.73664,40.30081,-3.73403,40.30993,1036.7118556251078,2.9121119540031115
